Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_norm
0.5133333333333333,0.4377406931964056,0.0002227667631989,0.0345454545454545,244.7919571860955,0.0,5.0
0.4933333333333333,0.3968253968253968,0.0002162629757785,0.0091666666666666,253.4699447110376,1.0,5.0
0.54,0.5166036149642708,0.0002534590727952,0.0019047619047618,224.8093814239055,2.0,2.0
0.6066666666666667,0.6065092703748166,4.511026954778328e-05,0.0549019607843137,210.54499445215257,3.0,0.3
0.6666666666666666,0.6666073968705548,0.0003480730674983,0.0083870967741934,208.93315745951224,4.0,0.3
0.6266666666666667,0.6260683760683761,3.844675124952349e-06,0.1374712643678161,207.89529566772265,5.0,0.3
0.5733333333333334,0.5601173020527859,6.187965644414409e-06,0.1194871794871794,215.41144527778312,6.0,1.0
0.5666666666666667,0.5149012388676053,0.0002162629757785,0.0329166666666667,218.9875142083498,7.0,2.0
0.5533333333333333,0.5172678803016475,0.0005233030031184,0.1175,223.26283865797237,8.0,2.0
0.6266666666666667,0.6260683760683761,0.0001673225910249,0.0399999999999999,210.71362465193192,9.0,0.3
