Accuracy,MacroF1,TPR_gap_squared,DP_gap,Welfare,seed,lambda_hat
0.5133333333333333,0.45519677595900293,7.831644018712686e-06,0.06736842105263152,238.88240528482612,0,5.0
0.5466666666666666,0.5039875510601051,0.002273640780246635,0.06769230769230772,238.96214670057387,1,5.0
0.4866666666666667,0.40003116721209286,0.0008910670527957214,0.06666666666666665,248.77939462480975,2,5.0
0.52,0.46,0.0001567016981503416,0.037575757575757485,229.35593012678424,3,5.0
0.5466666666666666,0.5189586870401811,0.003895656784536665,0.05149425287356324,242.55011000653042,4,5.0
0.52,0.4485294117647059,1.5378700499807656e-05,0.06256410256410261,242.3861851479645,5,5.0
0.5333333333333333,0.475,0.00492091779906438,0.10095238095238102,234.30643744272624,6,5.0
0.56,0.5298252279635258,0.0015932843725725647,0.11228070175438587,237.27753762811074,7,5.0
0.5466666666666666,0.4949494949494949,0.00019084363610944244,0.09943502824858752,233.9147495392225,8,5.0
0.5333333333333333,0.4800950683303625,0.00025058703849282615,0.008926553672316317,243.80993359216689,9,5.0
